,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,salary
22278,27, Private, Some-college, Divorced, Adm-clerical, Unmarried, White, Female,44, United-States,<=50K
8950,27, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States,<=50K
7838,25, Private, Assoc-acdm, Married-civ-spouse, Sales, Husband, White, Male,40, United-States,<=50K
16505,46, Private, 5th-6th, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,40, United-States,<=50K
19140,45, Private, 11th, Divorced, Transport-moving, Not-in-family, White, Male,76, United-States,>50K
12319,29, Private, Bachelors, Married-civ-spouse, Prof-specialty, Own-child, White, Male,75, United-States,<=50K
28589,42, Local-gov, HS-grad, Separated, Other-service, Not-in-family, Black, Female,60, ?,<=50K
10000,34, Private, Some-college, Divorced, Adm-clerical, Not-in-family, White, Female,50, United-States,<=50K
28530,60, Local-gov, Assoc-voc, Divorced, Prof-specialty, Unmarried, White, Male,40, United-States,>50K
24237,19, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Female,40, United-States,<=50K
12227,21, Private, Assoc-acdm, Never-married, Adm-clerical, Own-child, White, Female,8, United-States,<=50K
821,31, Private, Masters, Never-married, Prof-specialty, Not-in-family, White, Female,46, United-States,<=50K
25012,53, Private, Masters, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, United-States,>50K
24579,35, ?, HS-grad, Married-civ-spouse, ?, Other-relative, White, Female,25, United-States,<=50K
29295,51, Local-gov, Masters, Divorced, Exec-managerial, Not-in-family, White, Female,40, United-States,<=50K
4763,31, Federal-gov, Bachelors, Divorced, Protective-serv, Not-in-family, White, Male,50, United-States,>50K
10371,37, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male,52, United-States,<=50K
6964,29, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,60, India,<=50K
9907,68, ?, HS-grad, Married-civ-spouse, ?, Husband, White, Male,15, United-States,<=50K
30594,24, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States,<=50K
28635,46, Private, 11th, Separated, Machine-op-inspct, Not-in-family, White, Female,40, United-States,<=50K
28819,53, Private, Some-college, Married-civ-spouse, Craft-repair, Husband, Black, Male,40, United-States,>50K
26980,54, Private, Some-college, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States,>50K
22148,21, Private, Some-college, Never-married, Craft-repair, Not-in-family, White, Male,55, United-States,<=50K
21840,56, Private, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States,<=50K
15334,35, Self-emp-not-inc, Prof-school, Married-civ-spouse, Prof-specialty, Husband, White, Male,65, United-States,>50K
20409,46, Private, Some-college, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States,<=50K
3695,36, Self-emp-not-inc, Some-college, Divorced, Sales, Unmarried, White, Female,35, United-States,<=50K
1523,20, Private, Some-college, Never-married, Farming-fishing, Own-child, White, Female,40, United-States,<=50K
14833,29, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,40, United-States,<=50K
5775,37, Private, Some-college, Divorced, Tech-support, Not-in-family, Amer-Indian-Eskimo, Female,40, United-States,<=50K
28754,17, Private, 11th, Never-married, Handlers-cleaners, Own-child, White, Male,16, United-States,<=50K
961,32, Private, HS-grad, Divorced, Machine-op-inspct, Not-in-family, White, Female,38, United-States,<=50K
24969,23, Private, HS-grad, Never-married, Exec-managerial, Not-in-family, White, Male,40, United-States,<=50K
6595,45, Self-emp-inc, Masters, Divorced, Sales, Unmarried, White, Female,42, United-States,>50K
31064,26, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,40, United-States,<=50K
